uuid,version,date,email,name,title,company,phone,contactpreference,totalscore,topicscores,.,.,.,.,.,questionanswers...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#58dd7c0e055218.97927019,2.0,2017.Mar.30 21:43:42,df,,,,,,0.97222222222222,0.83333333333333,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
#58dd7c8e884516.44391819,2.0,2017.Mar.30 21:45:50,df,,,,,,0.97222222222222,0.83333333333333,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
#58dd7cb7db8050.41816122,2.0,2017.Mar.30 21:46:32,df,,,,,,0.97222222222222,0.83333333333333,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
#58dd7cc868bb26.72122877,2.0,2017.Mar.30 21:46:48,df,,,,,,0.97222222222222,0.83333333333333,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
#58dd7cd0a704b2.54500570,2.0,2017.Mar.30 21:46:56,df,,,,,,0.97222222222222,0.83333333333333,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
#58dd7cd9c0d4c3.09599124,2.0,2017.Mar.30 21:47:06,df,,,,,,0.97222222222222,0.83333333333333,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
#58dd7ce41143a1.65434948,2.0,2017.Mar.30 21:47:16,df,,,,,,0.97222222222222,0.83333333333333,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
#58dd7cf5b06eb5.15077656,2.0,2017.Mar.30 21:47:34,df,,,,,,0.97222222222222,0.83333333333333,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
#58dd7d03ee1b60.66648873,2.0,2017.Mar.30 21:47:48,df,,,,,,0.97222222222222,0.83333333333333,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
#58dd7d0d4b7dc5.68347671,2.0,2017.Mar.30 21:47:57,df,,,,,,0.97222222222222,0.83333333333333,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
#58dd7d17be3bc8.11354927,2.0,2017.Mar.30 21:48:08,df,,,,,,0.97222222222222,0.83333333333333,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
#58dd7d26e45517.82944218,2.0,2017.Mar.30 21:48:23,df,,,,,,0.97222222222222,0.83333333333333,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
#58dd7d4e2aae49.93320224,2.0,2017.Mar.30 21:49:02,df,,,,,,0.97222222222222,0.83333333333333,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
#58dd7d830e3512.97340779,2.0,2017.Mar.30 21:52:09,df,,,,,,1.7700396825397,1.6666666666667,1.4285714285714,1.5,1.625,2.2,2.2,1,2,0,1,4,2,3,1,2,1,0,1,2,3,2,1,0,1,1,2,3,1,2,2,1,0,1,2,2,0,2,3,4,4,4,0,3,4,2,1,0,2,3,3,4,
#58dd7d830e3512.97340779,2.0,2017.Mar.30 21:52:26,df,John,SI,SI,8765432435,,1.7700396825396822,1.6666666666666667,1.4285714285714286,1.5,1.625,2.2,2.2,1,2,0,1,4,2,3,1,2,1,0,1,2,3,2,1,0,1,1,2,3,1,2,2,1,0,1,2,2,0,2,3,4,4,4,0,3,4,2,1,0,2,3,3,4,
